code	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_hu	product_name_it	product_name_sl	generic_name_de	generic_name_en	generic_name_fr	quantity	serving_size	packaging	packaging_tags	packaging_text_de	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	origin_en	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_sl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	calcium_value	calcium_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
4063367233104	de	Kasseler										100g					K-Bio	k-bio		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut	"Bio, EU-Öko-Verordnung, DE-ÖKO-005, Nutriscore, Nutriscore D"	en:organic,en:eu-organic,en:de-oko-005,en:nutriscore,en:nutriscore-grade-d	Deutschland	en:germany			0								DE NI-11167 EC	de-ni-11167-ec												100g	100g	522	kJ	124	kcal	4	g	1.6	g	1	g	1	g			21	g	2.3	g	0.92	g			522	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat		unknown	d	12	unknown		1		-5	-15	1	15								App - Speisekammer, Apps, App - Yuka
21266225	de	Veganer Aufschnitt Typ Lyoner mit Paprika										80 g					Penny,Food for Future	penny,food-for-future		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, en:Meat alternatives, Fleisch-Ersatzprodukte	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues	Vegetarisch, Vegan, Nutriscore, Nutriscore C	en:vegetarian,en:vegan,en:nutriscore,en:nutriscore-grade-c	Deutschland	en:germany			0										Wasser, Rapsöl, Paprika 10%, Verdickungsmittel (Carrageen, Konjak), Erbsenprotein 3%, modifizierte Stärke, jodiertes Speisesalz (Speisesalz, Kalium - jodat), natürliche Aromen (enthalten Senf), Ackerbohnenprotein 1%, Dextrose, Stärke, Gewürze, Säureregulator (Natriumacetate), Leinmehl, Zwiebeln, Zucker, Gewürzextrakte, Kräuter, färbende Lebensmittel (Paprikasaftkonzentrat, Rote - Bete-Saftkonzentrat). Kann Spuren von Sellerie enthalten.						Senf	en:mustard	Sellerie	en:celery		100g	100g			180	kcal	14.8	g	1.1	g	6	g	2.7	g			4.5	g	2.5	g	1	g			180	kcal														4	en:4-ultra-processed-food-and-drink-products	d	13	unknown		1		-5	-15	1	0								App - Waistline, Apps, App - Yuka
21273469	de	Veganer Aufschnitt Typ Lyoner Mit Brokkoli										80 g					Penny,Food for Future	penny,food-for-future		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, en:Meat alternatives, Fleisch-Ersatzprodukte	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues	Vegetarisch, Vegan, Nutriscore, Nutriscore C	en:vegetarian,en:vegan,en:nutriscore,en:nutriscore-grade-c	Deutschland	en:germany			0										Wasser, Rapsöl, Brokkoli 10%, Verdickungsmittel (Carrageen, Konjak), Erbsenprotein 3%, modifizierte Stärke, jodiertes Speisesalz (Speisesalz, Kalium - jodat), natürliche Aromen (enthalten Senf), Ackerbohnenprotein 1%, Dextrose, Stärke, Gewürze, Säureregulator (Natriumacetate), Leinmehl, Zwiebeln, Zucker, Gewürzextrakte, Kräuter, färbende Lebensmittel (Paprikasaftkonzentrat, Rote - Bete-Saftkonzentrat). Kann Spuren von Sellerie enthalten.						Senf	en:mustard	Sellerie	en:celery		100g	100g			183	kcal	14.4	g	1.1	g	6.6	g	3	g			4.7	g	2.4	g	0.96	g			183	kcal														4	en:4-ultra-processed-food-and-drink-products	d	13	unknown		1		-5	-15	1	0								App - Yuka, Apps
21269516	de	Veganer Aufschnitt Typ Lyoner Klassik										80 g (8 x 10 g)	10g	Papier, en:Etikett, en:Folie, en:Kunststoff, en:Tablettverpackung	en:paper,en:etikett,en:folie,en:kunststoff,en:tablettverpackung		Penny,Food for Future	penny,food-for-future		en:Meat alternatives, Fleisch-Ersatzprodukte	en:meat-alternatives,en:meat-analogues	Vegetarisch, Vegan, CO2-neutral, Nutriscore, Nutriscore C, en:100% pflanzlich, en:Europäische Vegetarier-Union Vegan, en:Vegetarisch	en:vegetarian,en:vegan,en:carbon-compensated-product,en:nutriscore,en:nutriscore-grade-c,en:100-pflanzlich,en:europaische-vegetarier-union-vegan,en:vegetarisch	Deutschland	en:germany			0										Wasser, Rapsöl, Verdickungsmittel (Carrageen, Konjak), Erbsenpro - tein 3%, modifizierte Stärke, jodiertes Speisesalz (Speisesalz, Kaliumjodat), natürliche Aromen (enthalten Senf), Ackerbohnenprotein 1%, Dextrose, Stärke, Gewürze, Säureregulator (Natriumacetate), Leinmehl, Zwiebeln, Zucker, Gewürz - extrakte, Kräuter, färbende Lebensmittel (Paprikasaftkonzentrat, Rote-Bete - Saftkonzentrat), Buchenholzrauch. Kann Spuren von Sellerie enthalten.						Senf	en:mustard	Sellerie	en:celery		100g	100g	835	kJ	202	kcal	16.5	g	1.5	g	6.8	g	2.7	g			4.5	g	2.6	g	1.04	g			835	kJ														4	en:4-ultra-processed-food-and-drink-products	d	13	unknown				-5	-12	1	0								App - Yuka, Apps
4056489470762	de	Veganer Aufschnitt nach Schinkenwurst-Art mit Champignons	Vegan Cold Cuts Ham Sausage-Style With Mushrooms							Vegan ham		80 g		Kunststoff	en:plastic		Vemondo,Lidl	vemondo,lidl		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, en:Meat alternatives, Fleisch-Ersatzprodukte	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues	Vegetarisch, Vegan, Europäische Vegetarier-Union, Europäische Vegetarier-Union Vegan	en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan	Kroatien, Deutschland, Slowakei	en:croatia,en:germany,en:slovakia	Lidl	lidl	0					Germany.						water, rapeseed oil 10%, reduced fat sunflower flour 9.4%, mushrooms 8%, thickener: processed euchema seaweed, carob seed flour, xanthan gum, konjac gum (contains : sulfites); spice extracts (onion, garlic, nutmeg, black pepper), salt, acidity regulators: sodium acetate, lactic acid, citric acid; natural flavourings, dextrose, spices, flavouring, antioxidant: ascorbic acid, colour: iron oxides and hydroxides					Schwefeldioxid und Sulfite	en:sulphur-dioxide-and-sulphites	Sellerie, Gluten, Senf	en:celery,en:gluten,en:mustard		100g	100g	563	kJ	136	kcal	10.5	g	0.8	g	2.4	g	0.8	g	6.3	g	4.9	g	1.7	g	0.68	g			563	kJ															unknown	b	0	unknown		1		-5	-15	1	0								App - yuka, Apps
4056489470731	de	Veganer Aufschnitt	Vegan Cold Cuts Ham Sausage-Style							Vegan ham		80 g		Kunststoff	en:plastic		Vemondo	vemondo		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, en:Meat alternatives, Fleisch-Ersatzprodukte	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-alternatives,en:meat-analogues	Vegetarisch, Vegan	en:vegetarian,en:vegan	Kroatien, Deutschland, Slowakei	en:croatia,en:germany,en:slovakia	Lidl	lidl	0											water, rapeseed oil 9.7%, reduced fat sunflower flour 8.9%, thickener: processed euchema seaweed, carob seed flour, xanthan gum, konjac gum (contains : sulfites); spice extracts (onion, garlic, nutmeg, black pepper), salt, acidity regulators: sodium acetate, lactic acid; natural flavourings, dextrose, spices, flavouring, colour: iron oxides and hydroxides					Schwefeldioxid und Sulfite	en:sulphur-dioxide-and-sulphites	Sellerie, Gluten, Senf	en:celery,en:gluten,en:mustard		100g	100g	549	kJ	133	kcal	10.6	g	0.8	g	1.2	g	0.6	g	6.9	g	4.8	g	1.6	g	0.64	g			549	kJ															unknown	b	1	unknown		1		-5	-15	1	0								App - yuka, Apps
4021851828236	de	Vegetarischer Aufschnitt Lyoner Art										80g					Dennree	dennree		Fleisch, Zubereitetes Fleisch, Würste, en:Meat alternatives, Fleisch-Ersatzprodukte, Vegetarische Würste	en:meats,en:prepared-meats,en:sausages,en:meat-alternatives,en:meat-analogues,en:vegetarian-sausages	"Bio, Vegetarisch, EU-Öko-Verordnung, BE-BIO-01, Eu-bio"	en:organic,en:vegetarian,en:eu-organic,en:be-bio-01,de:eu-bio	Deutschland	en:germany			0										"Wasser, Rapsöl* (18%), Weizenstärke* (12%), Hühnerei-Eiweißpulver* (6%), Gewürze* (Zwiebelpulver*, weißer Pfeffer*, Kardamom*, Macis*, Selleriepulver*, Ingwer*, Thymian*), Maltodextrin*, Essig*, färbende Lebensmittel: Tomatensaftkonzentrat*, Rote Bete-Saftkonzentrat*; Meersalz, Sonnenblumenöl*, Stabilisator: Guarkernmehl*       *aus kontrolliert biologischer Landwirtschaft 100 q enthalten durchschnittlich g"						Eier, Gluten	en:eggs,en:gluten			null	100g	100g	862	kj	207	kcal	14	g	1	g	14	g	0.5	g			5.1	g	2	g	0.8	g			862	kj												en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	c	7	unknown		1		-5	-15	1	15								App - yuka, Apps, App - smoothie-openfoodfacts
4316268660600	de	Prosciutto Cotto										200 g		en:Folie, en:Kunststoff, en:Schale	en:folie,en:kunststoff,en:schale	"1 Kunststoff Folie zur Wiederverwertung,
1 Kunststoff Schale zur Wiederverwertung"	Hofmaier	hofmaier		Fleisch, Zubereitetes Fleisch, Schinken, Aufschnitt	en:meats,en:prepared-meats,en:hams,en:cut	Haltungsform, Haltungsform 2 StallhaltungPlus, Hergestellt in Deutschland, Nutriscore, Nutriscore C	de:haltungsform,de:haltungsform-2-stallhaltungplus,en:made-in-germany,en:nutriscore,en:nutriscore-grade-c	Deutschland	en:germany	Netto Marken-Discount	netto-marken-discount	0								DE EV-42 EG	de-ev-42-ec	Schweinefleisch, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Dextrose, Stabilisator: Diphosphate; Antioxidationsmittel: Natriumascorbat; Konservierungsstoff: Natriumnitrit											100g	100g	464	kJ	110	kcal	3	g	1	g	1	g	1	g			19.5	g	1.9	g	0.76	g			464	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	c	4	unknown				-5	-11	1	0								App - Yuka, Apps
4311501752739	de	Veganer Aufschnitt															Edeka	edeka						Deutschland	en:germany			0																					100g	100g			216	kcal	19	g	1.1	g	5.5	g	3.5	g			5	g	2.1	g	0.84	g			216	kcal															unknown			unknown		1		-5	-15	1	0								App - Yuka, Apps
4311501405932	de	Tomate Mozzarella Sandwitch										180 g	180g	Kunststoff, Pappe	en:plastic,en:cardboard		Gut & Günstig	gut-gunstig		Sandwiches, Sandwiche belegt mit Aufschnitt, Käse-Sandwiches	en:sandwiches,en:sandwiches-filled-with-cold-cuts,en:cheese-sandwiches			Deutschland	en:germany	EDEKA	edeka	0										41% Weizenbrot (_Weizen_mehl, Wasser, _Weizen_sauerteig [Wasser, _Weizen_mehl], Hefe, Rapsöl, Invertzuckersirup, Speisesalz, Säureregulator: Natriumacetate; Weizen_malzmehl), 19% Tomaten-Basilikum-Zubereitung (85% Tomaten, Olivenöl, Zwiebeln, Weinessig, 2% Basilikum, Speisesalz, Gewürze, Verdickungsmittel: Xanthan; Säureregulator: Natriumacetate; Antioxidationsmittel: Ascorbinsäure), 17% Salatmayonnaise (Rapsöl, Wasser, Hühner_ei_eigelb, Zucker, Stärke, Branntweinessig, _Senf_ [Wasser, _Senf_saaten, Branntweinessig, Speisesalz, Zucker, Gewürze], Speisesalz, Verdickungsmittel: Guarkernmehl; Gewürze), 12% _Mozzarella_ schnittfest, 11% Tomaten.						Eier, Gluten, Milch, Senf	en:eggs,en:gluten,en:milk,en:mustard	Sellerie, Fisch, Lupinen, Sesam, Soja	en:celery,en:fish,en:lupin,en:sesame-seeds,en:soybeans		100g	100g	1019	kJ	244	kcal	14.1	g	3.2	g	21.5	g	2.4	g			6.6	g	1.1	g	0.44	g			1019	kJ												en:sandwiches	en:composite-foods,en:sandwiches	4	en:4-ultra-processed-food-and-drink-products	b	1	c	52		25518	-5	-11	1	0								App - Open Food Facts, Apps
