code	producer_version_id	lc	product_name_de	product_name_en	product_name_fr	product_name_it	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	quantity	serving_size	packaging	packaging_tags	packaging_text_de	packaging_text_en	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	calcium_value	calcium_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:partyName	data_sources
9010437002486		de	popcorn								1pcs						clever	clever						Deutschland	en:germany			0																			100g	100g																																																						unknown			unknown		1		-5	-15	1	0												App - Speisekammer, Apps
4270002566903		de	Kirmes popcorn zucker																					Deutschland	en:germany			0																			100g	100g			384	kcal	3.8	g	0.5	g	78.6	g	49.5	g			4.3	g	0	g	0	g			384	kcal																														unknown			unknown		1		-5	-15	1	0												App - Yuka, Apps
7613312358641		fr	PopCorn		PopCorn						1pcs						M Classic	m-classic		Snacks, Popcorn	en:snacks,en:popcorn			Allemagne	en:germany			0										popcorn mais zubereitung: eine möglichst breite pfanne (antihaftbe - schichtet) erhitzen, 30 (2 esslöffel) popcorn-mais hineinstreuen und sofort zudecken, bei kleinem feuer warten, bis alle körner afgesprungen sind (2-3 mi - nuten), in eine schüssel geben und nach belieben mit salz oder zuckerreden, mais pour popcorn preparation: make expensive a fairly large pan (nonstick), pour 30g (2 c,  soup) corn for popcorn and cover immediately, wait over low heat until all the grains have burst (2 to 3 minutes), pour into a dish and sprinkle with salt or sugar according to your taste, mais per popcorn preparazione: riscaldare bene una padella larga e con rivestimento antiaderente, cospargere con 30g (2 cuc chiai) di mais per popcorn e coprire immediatamente,  a fuoco basso, attendere fino a che tutti i chicchi sono scoppiati (2-3 minuti), versare in una ciotola e cospar - gere con sale o zucchero a piacere, trocken und bei raumtemperatur auf - bewahren, store dry and room temperature, | conservare in tuogo asciutto e a temperatura ambiente, e 500g data ausser reichweite von kindern lagern, keep out of reach of children, conservare fuori dalla portata dei bambini, best before (see side) da consumarst preferibilmente entro il (vedi lato)	"Popcorn Mais Zubereitung: Eine möglichst breite Pfanne (antihaftbe - schichtet) erhitzen, 30 (2 Esslöffel) Popcorn-Mais hineinstreuen und sofort zudecken, Bei kleinem Feuer warten, bis alle Körner afgesprungen sind (2-3 Mi - nuten), In eine Schüssel geben und nach Belieben mit Salz oder Zuckerreden, Mais pour popcorn Préparation: faire cher une poêle assez grande (antiadhésive), verser 30g (2 c, à soupe) de maïs pour popcorn et couvrir immédiatement, Attendre à feu doux jusqu'à ce que tous les grains aient éclaté (2 à 3 minutes), Verser dans un plat et saupoudrer de sel ou de sucre selon votre goût, Mais per popcorn Preparazione: riscaldare bene una padella larga e con rivestimento antiaderente, cospargere con 30g (2 cuc chiai) di mais per popcorn e coprire immediatamente, A fuoco basso, attendere fino a che tutti i chicchi sono scoppiati (2-3 minuti), Versare in una ciotola e cospar - gere con sale o zucchero a piacere, Trocken und bei Raumtemperatur auf - bewahren, Conserver au sec et à température ambiante, | Conservare in tuogo asciutto e a temperatura ambiente, e 500g data Ausser Reichweite von Kindern lagern, Conserver hors de la portée des enfants, Conservare fuori dalla portata dei bambini, A consommer de préférence avant le (voir sur le côté) Da consumarst preferibilmente entro il (vedi lato)"								100g	100g			337	kcal	4.2	g	0.5	g	59	g	0.6	g	0.5	g	13	g	9.3	g	3.72	g			337	kcal																														unknown	d	14	b	70	1	9230	-5	-15	1	0												App - Speisekammer, Apps, App - Yuka, App - InFood
4063367147500		de	"Knuspriges Popcorn süß"				"Süßes Popcorn"				120 g	60g	Metall, Wiederverwertbare Metalle, Aluminium, Tüte, Alutüte	en:metal,en:recyclable-metals,en:aluminium,en:bag,de:alutüte			K-Classic,Kaufland	k-classic,kaufland		"Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Imbiss, Getreide und Kartoffeln, Samen, Süßer Snack, Getreideprodukte, Süßwaren, Getreidekörner, Mais, Popcorn, Süßes Popcorn"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:seeds,en:sweet-snacks,en:cereals-and-their-products,en:confectioneries,en:cereal-grains,en:corn,en:popcorn,en:sugared-popcorn	Nutriscore, Nutriscore D	en:nutriscore,en:nutriscore-grade-d	Deutschland	en:germany	Kaufland	kaufland	0					Deutschland,XOX Gebäck GmbH,31867 Lauenau	deutschland,xox-geback-gmbh,31867-lauenau			Maiskörner (50 %), Zucker (36%), Glukose-Fruktose-Sirup, Sonnenblumenöl (4 %), Emulgator: Lecithine.										100g	100g	1742	kJ	413	kcal	7.5	g	1.2	g	78	g	52	g	4.5	g	0	g	0	g	0	g			1742	kJ																											en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	12	a	82		9230	-5	-3	0	0												App - Yuka, Apps, App - Open Food Facts
4063367165474		en		Popcorn								50.0g					Kaufland	kaufland						Germany	en:germany			0																			100g	100g			336	kcal	4	g	0.5	g	58	g	2.90000009536743	g	14	g	10	g							336	kcal																														unknown			unknown		1		-5	-15	1	0												
4001242005194		de	"Chio Mikrowellen Popcorn Süß"	"Mikrowellen Popcorn Süß"			Popcorn-Mais für die Mikrowelle mit Zucker	Popcorn-Maize for the microwave with sugar			100g	30g	Tüte, Packung(en)	en:bag,de:packung-en			Chio	chio		"Imbiss, Süßer Snack, Popcorn, Süßes Popcorn"	en:snacks,en:sweet-snacks,en:popcorn,en:sugared-popcorn	Glutenfrei	en:no-gluten	Deutschland	en:germany			0									"Mais (63 %), Dextrose, Zucker, Salfett, Sonnenblumenöl, Überzugsmittel (Isomalt), Aroma, Emulgator (Sonnenblumenlecithine)."	Maize (63 %), Dextrose, Sugar, Sal Fat, Sunflower Oil, Glazing Agent (Isomalt), Flavouring, Emulsifier (Sunflower Lecithins).									100g	100g	1556	kJ	372	kcal	15	g	4.9	g	51	g	20	g	9.1	g	5.7	g	0.01	g	0.004	g			1556	kJ																													4	en:4-ultra-processed-food-and-drink-products	c	7	b	75		9230	-5	-10	0	0												App - yuka, Apps, App - off, App - Open Food Facts, App - Speisekammer
4260466770275		de	Popcorn Bakery Caramel & Seasalt 100g																			Ohne künstliche Aromen, Ohne Konservierungsstoffe	en:no-artificial-flavors,en:no-preservatives	Deutschland	en:germany			0																			100g	100g			422	kcal	11.3	g	3.9	g	76	g	58.2	g	2.3	g	2.6	g	0.3	g	0.12	g			422	kcal																														unknown			unknown		1		-5	-15	1	0												App - Yuka, Apps
4001242003633		de	Popcorn Toffee Karamell								120 g	30g					Chio	chio		"Imbiss, Popcorn, en:Imbiss, en:Süßer Snack"	en:snacks,en:popcorn,en:imbiss,en:susser-snack	Glutenfrei, en:Made in the EU, Mit Sonnenblumenöl	en:no-gluten,en:made-in-the-eu,en:with-sunflower-oil	Deutschland	en:germany			0									D) POPCORN MIT KARAMELLISIERTEM ZUCKER : Glukose-Fruktose-Sirup, Mais, brauner Zucker, Sonnenblumenöl Karamellzuckersirup, tmulgator (Sonnenblumenlecithine) (GB) POPCORN WITH CARAMELIZED SUGAR INGREDIENTS: Glucose-fructose syrup, maize, brown sugar, sunflower oil, caramelized sugar syrup, emulsifier (sunflower lecithins).										100g	100g	1827	kJ	432	kcal	5.9	g	0.7	g	89	g	52	g			3.8	g	0.28	g	0.112	g			1827	kJ																													4	en:4-ultra-processed-food-and-drink-products	d	16	b	70	1	9230	-5	-15	1	0												App - yuka, Apps, App - Open Food Facts, App - Speisekammer
4316268387729		de	"Popcorn süß"								200 g		Gelber Sack / Tonne	de:gelber-sack-tonne			American Style	american-style		Imbiss, Popcorn	en:snacks,en:popcorn			Deutschland	en:germany	Netto Marken-Discount	netto-marken-discount	0									67% Mais, 29% Zucker, Palmfett.									null	100g	100g			406	kcal	5	g	2	g	75	g	28	g	14.5	g	6.4	g	0	g	0	g			406	kcal																													3	en:3-processed-foods	c	7	b	65		9230	-5	-10	0	0	-10											App - yuka, Apps, App - smoothie-openfoodfacts
4000286221737		de	Popcorn-Mais		Popcorn, einfach selbst gemacht		Popcorn-Mais				450g	50g	en:Kunststoff, en:PP - Polypropylen, en:Tüte	en:kunststoff,en:pp-polypropylen,en:tute	1 farbige durchsichtige 500 g-PP-Tüte zum Wegwerfen		Müller's Mühle, Müller's Mühle	muller-s-muhle,muller-s-muhle		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Imbiss, Getreide und Kartoffeln, Samen, Getreideprodukte, Getreidekörner, Mais, Popcorn	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cereal-grains,en:corn,en:popcorn	Vegetarisch, Vegan, en:Vegetarisch	en:vegetarian,en:vegan,en:vegetarisch	Deutschland, en:Deutschland, en:Frankreich, en:Schweiz	en:germany,en:deutschland,en:frankreich,en:schweiz			0					Deutschland	deutschland			Mais 100%							"en:en:gluten  en:sesame-seeds  en:soybeans"	en:en-gluten-en-sesame-seeds-en-soybeans		100g	100g	1443	kJ	342	kcal	3.3	g	0.5	g	63	g	0.8	g			10	g	0.01	g	0.004	g			1443	kJ																										https://www.muellers-muehle.de/de/produkte/produkt/popcorn-mais	en:cereals	en:cereals-and-potatoes,en:cereals	1	en:1-unprocessed-or-minimally-processed-foods	a	-1	b	77		9230	-5	-8	0	0												App - yuka, Apps, Database - FoodRepo / openfood.ch, Databases, App - Speisekammer
